ADM3_PCODE,Indicator,2018
PH012801000,Number of Child Headed_Male,0
PH012802000,Number of Child Headed_Male,0
PH012803000,Number of Child Headed_Male,0
PH012804000,Number of Child Headed_Male,0
PH012805000,Number of Child Headed_Male,0
PH012806000,Number of Child Headed_Male,0
PH012807000,Number of Child Headed_Male,0
PH012808000,Number of Child Headed_Male,0
PH012809000,Number of Child Headed_Male,0
PH012810000,Number of Child Headed_Male,0
PH012811000,Number of Child Headed_Male,1
PH012812000,Number of Child Headed_Male,1
PH012813000,Number of Child Headed_Male,0
PH012814000,Number of Child Headed_Male,0
PH012815000,Number of Child Headed_Male,0
PH012816000,Number of Child Headed_Male,0
PH012817000,Number of Child Headed_Male,1
PH012818000,Number of Child Headed_Male,0
PH012819000,Number of Child Headed_Male,0
PH012820000,Number of Child Headed_Male,0
PH012821000,Number of Child Headed_Male,0
PH012822000,Number of Child Headed_Male,0
PH012823000,Number of Child Headed_Male,0
PH012901000,Number of Child Headed_Male,0
PH012902000,Number of Child Headed_Male,0
PH012903000,Number of Child Headed_Male,0
PH012904000,Number of Child Headed_Male,0
PH012905000,Number of Child Headed_Male,0
PH012906000,Number of Child Headed_Male,0
PH012907000,Number of Child Headed_Male,0
PH012908000,Number of Child Headed_Male,0
PH012909000,Number of Child Headed_Male,0
PH012910000,Number of Child Headed_Male,0
PH012911000,Number of Child Headed_Male,0
PH012912000,Number of Child Headed_Male,1
PH012913000,Number of Child Headed_Male,0
PH012914000,Number of Child Headed_Male,0
PH012915000,Number of Child Headed_Male,0
PH012916000,Number of Child Headed_Male,0
PH012917000,Number of Child Headed_Male,0
PH012918000,Number of Child Headed_Male,0
PH012919000,Number of Child Headed_Male,0
PH012920000,Number of Child Headed_Male,0
PH012921000,Number of Child Headed_Male,0
PH012922000,Number of Child Headed_Male,1
PH012923000,Number of Child Headed_Male,0
PH012924000,Number of Child Headed_Male,1
PH012925000,Number of Child Headed_Male,1
PH012926000,Number of Child Headed_Male,0
PH012927000,Number of Child Headed_Male,0
PH012928000,Number of Child Headed_Male,0
PH012929000,Number of Child Headed_Male,0
PH012930000,Number of Child Headed_Male,0
PH012931000,Number of Child Headed_Male,0
PH012932000,Number of Child Headed_Male,0
PH012933000,Number of Child Headed_Male,0
PH012934000,Number of Child Headed_Male,0
PH013301000,Number of Child Headed_Male,0
PH013302000,Number of Child Headed_Male,2
PH013303000,Number of Child Headed_Male,1
PH013304000,Number of Child Headed_Male,2
PH013305000,Number of Child Headed_Male,0
PH013306000,Number of Child Headed_Male,0
PH013307000,Number of Child Headed_Male,0
PH013308000,Number of Child Headed_Male,1
PH013309000,Number of Child Headed_Male,0
PH013310000,Number of Child Headed_Male,0
PH013311000,Number of Child Headed_Male,1
PH013312000,Number of Child Headed_Male,1
PH013313000,Number of Child Headed_Male,1
PH013314000,Number of Child Headed_Male,0
PH013315000,Number of Child Headed_Male,0
PH013316000,Number of Child Headed_Male,0
PH013317000,Number of Child Headed_Male,1
